,id,size_bytes,currency,price,rating_count_tot,rating_count_ver,user_rating,user_rating_ver,ver,cont_rating,prime_genre,sup_devices.num,ipadSc_urls.num,lang.num,vpp_lic
1,281656475,100788224,USD,3.99,21292,26,4,4.5,6.3.5,4+,Games,38,5,10,1
2,281796108,158578688,USD,0,161065,26,4,3.5,8.2.2,4+,Productivity,37,5,23,1
3,281940292,100524032,USD,0,188583,2822,3.5,4.5,5.0.0,4+,Weather,37,5,3,1
4,282614216,128512000,USD,0,262241,649,4,4.5,5.10.0,12+,Shopping,37,5,9,1
5,282935706,92774400,USD,0,985920,5320,4.5,5,7.5.1,4+,Reference,37,5,45,1
6,283619399,10485713,USD,0.99,8253,5516,4,4,1.8,4+,Games,47,5,1,1
7,283646709,227795968,USD,0,119487,879,4,4.5,6.12.0,4+,Finance,37,0,19,1
8,284035177,130242560,USD,0,1126879,3594,4,4.5,8.4.1,12+,Music,37,4,1,1
9,284666222,49250304,USD,9.99,1117,4,4.5,5,3.6.6,4+,Utilities,37,5,1,1
10,284736660,70023168,USD,3.99,7885,40,4,4,4.0.4,4+,Games,38,0,10,1
11,284791396,49618944,USD,4.99,76720,4017,4.5,4.5,4.10.1,4+,Games,38,4,11,1
12,284815117,227547136,USD,7.99,105776,166,3.5,2.5,5.19.0,4+,Games,37,0,6,1
13,284815942,179979264,USD,0,479440,203,3.5,4,27,17+,Utilities,37,4,33,1
14,284847138,160925696,USD,0,119773,2336,3.5,4.5,7.3.8,4+,Finance,37,0,2,1
15,284862767,55153664,USD,4.99,6340,668,4.5,4.5,4.0.3,4+,Games,38,5,2,1
16,284876795,207907840,USD,0,56194,87,4,3.5,21.1,4+,Travel,37,1,26,1
17,284882215,389879808,USD,0,2974676,212,3.5,3.5,95,4+,Social Networking,37,1,29,1
18,284910350,167407616,USD,0,223885,3726,4,4.5,11.15.0,12+,Travel,37,5,18,1
20,284993459,147093504,USD,0,402925,136,4,4.5,11.0.3,12+,Music,37,3,16,1
21,285005463,10735026,USD,2.99,31456,4178,4,3.5,1.0.0,4+,Games,47,0,1,1
22,285946052,70707916,USD,1.99,2929,966,4.5,4.5,3.3,4+,Reference,43,0,2,1
23,285994151,6169600,USD,2.99,11447,781,5,5,5.2.6,4+,Games,40,5,1,1
24,286058814,130583552,USD,0,137951,131,4,4.5,6.9,4+,Sports,37,2,6,1
25,286070473,71203840,USD,5.99,8,0,4.5,0,9.0.5,4+,Business,37,5,3,1
27,286799607,11423008,USD,3.99,3241,297,4,4,2.1.3,4+,Music,43,2,10,1
28,286906691,188017664,USD,0,5795,12,3.5,4,8.4.1,4+,Health & Fitness,37,5,11,1
29,286911400,4765696,USD,0,42316,248,3,3.5,2.0.6,9+,Games,38,0,1,1
31,288113403,287933440,USD,0,123215,25,3.5,5,10.5.4,4+,Productivity,37,5,23,1
32,288120394,4263936,USD,4.99,782,7,4,3.5,1.9.8,4+,Music,43,1,1,1
33,288419283,172772352,USD,9.99,3449,23,4,4.5,3.4.1,4+,Weather,37,5,1,1
34,288429040,273844224,USD,0,71856,62,3.5,4.5,9.1.32,4+,Social Networking,37,2,23,1
35,289084315,40216576,USD,1.99,13350,489,4.5,5,9.6,12+,Health & Fitness,38,0,15,1
36,289446241,2386944,USD,0.99,137,0,3,0,5,4+,Entertainment,37,1,1,1
37,289523017,105431040,USD,0,180087,1101,3.5,4.5,5.5.3,12+,Games,37,5,5,1
39,289894882,44129280,USD,0.99,33426,299,4,5,7.2,4+,Health & Fitness,37,5,3,1
40,290638154,116443136,USD,0,293228,110,4,3,8.0.0,12+,Music,37,5,2,1
41,290807369,1.99,21609,69,3.5,2.5,2.4,9+,Entertainment,40,0,1,1,,
42,290986013,30016512,USD,4.99,4684,10,4,4,8.0.3,4+,Utilities,37,4,9,1
43,291430598,29518848,USD,2.99,2104,0,4.5,0,5.2,17+,Weather,37,0,1,1
47,292421271,66872320,USD,2.99,41633,6,4,3,1.7.177604,9+,Games,37,0,1,1
48,292628469,45229056,USD,2.99,3610,7,4.5,5,3.8.2,4+,Photo & Video,37,5,1,1
49,292738169,127470592,USD,0,4677,12,3,4,6.19.0,12+,Music,37,5,21,1
50,293118835,44241920,USD,3.99,30,0,3.5,0,2.9.0,4+,Navigation,37,0,2,0
51,293523031,107983872,USD,0,48905,2691,4.5,4.5,7.2,4+,Music,37,4,12,1
52,293573778,8044544,USD,4.99,32,0,3,0,3.9.2,4+,Navigation,38,5,7,1
53,293622097,37214208,USD,0,446185,1359,3.5,3.5,7.1.6,4+,Travel,43,5,30,1
54,293760823,60320768,USD,1.99,21825,10,3,4,4.0.8,9+,Entertainment,37,5,1,1
55,293778748,100849664,USD,0,508808,99,3,4.5,6.3.5,4+,Games,38,5,10,1
57,294056623,72748032,USD,0,57500,103,3,4,3.5.13,4+,Sports,37,0,1,0
58,294536447,32164864,USD,1.99,2576,4,4,5,7,4+,Games,38,5,1,1
59,294631159,69079040,USD,1.99,1572,34,4,4.5,4.8.2,4+,Weather,37,0,13,1
60,294934058,82037760,USD,2.99,3292,2,3,5,4.56.1,4+,Business,37,2,2,1
61,295430577,150195200,USD,4.99,8932,55,4.5,5,7.2.3,4+,Education,37,0,12,1
62,295646461,199734272,USD,0,495626,5893,3.5,4.5,8.11,4+,Weather,37,0,33,1
63,295759189,13156352,USD,0.99,812,14,3,4,8.2.0,4+,Lifestyle,38,0,7,1
64,295775656,30367744,USD,2.99,1583,2,3.5,4.5,2.5.9.2,12+,Lifestyle,37,5,1,1
65,296581815,93420544,USD,0,113936,150,4.5,5,10.18.0,4+,Food & Drink,37,1,6,1
66,297244048,31505408,USD,4.99,2027,2,4,5,9.3,4+,Entertainment,37,5,33,1
67,297332787,25997312,USD,3.99,768,4,4,4,7.1,4+,Education,37,3,3,1
68,297368629,182054912,USD,0,373835,402,4,4.5,8.0.2,4+,Health & Fitness,37,3,1,1
69,297430070,138754048,USD,0,108131,13,3,2,8.21.0,4+,Shopping,37,0,1,1
70,297606726,13564835,USD,0.99,18943,1787,3.5,4.5,1.1.0,4+,Games,47,0,1,1
71,297606951,133688320,USD,0,126312,22,3.5,3,9.10.0,4+,Shopping,37,5,8,1
72,297694601,55205888,USD,4.99,35735,378,4,4.5,1.5.1,4+,Games,40,0,0,1
73,298127110,46922752,USD,4.99,410,7,3,2.5,4.8.1,4+,Utilities,37,5,1,1
74,298206806,63283200,USD,12.99,1390,143,4.5,5,7.0.1,4+,Music,37,5,33,1
75,298596830,53426176,USD,0,38,2,3.5,5,5.2.6,4+,Music,37,5,4,1
76,298867247,0,233270,14625,4.5,4.5,2.61,4+,Finance,37,0,2,1,,
77,299029654,21.99,64,0,4.5,0,4.1.1,4+,Reference,37,5,2,1,,
79,299515267,36399104,USD,0,109349,1540,3.5,5,6.3,12+,Food & Drink,37,5,1,1
80,299853944,0,2229,4,3.5,1,6.2.1,17+,News,37,0,1,1,,
81,299949744,56481792,USD,1.99,14970,24,3.5,4.5,24.2,4+,Navigation,37,0,1,1
82,300048137,181941248,USD,0,144214,2162,3.5,4,10.4.1,4+,Weather,37,1,43,1
83,300238550,162891776,USD,0,232940,683,4,4.5,5.9.0,4+,Finance,37,5,1,1
84,300255638,98108416,USD,0,48407,20,3,3.5,5.16,12+,News,37,0,1,0
85,300265786,54088704,USD,0.99,5531,37,3.5,2.5,4.3,4+,Utilities,40,3,13,1
86,300590611,50155520,USD,1.99,3393,77,4,4,5.1.0,4+,Education,43,5,1,1
87,300704847,23936000,USD,0,65016,274,3.5,5,3.8.2,4+,Utilities,38,4,17,1
89,301387274,145293312,USD,0.99,187529,1071,4,4,1.48.2,9+,Entertainment,43,5,1,1
90,301521403,140367872,USD,0,33969,466,3.5,5,5.4.1,4+,Health & Fitness,37,0,17,1
91,301724680,281244672,USD,0,48822,193,3.5,4,8.5.0,4+,Finance,37,0,1,1
92,302049354,66695168,USD,1.99,59155,101,4.5,2.5,3.2.0,4+,Games,40,5,1,1
93,302584613,169747456,USD,0,252076,80,3.5,4.5,5.11,4+,Book,37,5,9,1
95,303058767,41691136,USD,1.99,4913,1,4,4,3.3.2,9+,Games,37,3,15,1
96,303191318,0,1744,0,3.5,0,10.10.46,4+,Finance,37,0,1,1,,
97,303337299,55803904,USD,0.99,16567,1155,4.5,4.5,2.29.13,4+,Games,43,4,1,1
99,303849934,188956672,USD,0,187315,9,2,4,17.05.15,17+,Games,37,5,9,1
100,304731501,22185984,USD,2.99,4781,1,4.5,5,3.9.2,4+,Music,37,5,10,1
101,304770340,66160640,USD,3.99,94,4,4.5,4.5,11.0.10,4+,Games,37,0,1,1
102,304871603,28135424,USD,0.99,29554,55,4,5,3.6.1,4+,Photo & Video,37,0,3,1
103,304871622,27962441,USD,0.99,32988,2489,4,4,1.7,12+,Games,47,5,1,1
104,304878510,133238784,USD,0,373519,127,3.5,4,6.35.1,4+,Social Networking,37,0,32,1
105,305343404,151573504,USD,0,334293,919,4,4,8.6,17+,Social Networking,37,5,16,1
106,305557780,27069440,USD,1.99,2302,3,3.5,5,5.1,4+,Photo & Video,37,5,1,1
107,305939712,101259264,USD,0,60659,57,3,2.5,17.05.01,17+,Social Networking,37,5,10,1
108,306169895,168192000,USD,2.99,2562,10,4,4.5,5.1,4+,Games,37,5,4,1
109,306257910,17485824,USD,4.99,3042,6,3.5,4,3.3.0,4+,Finance,37,5,11,1
110,306375551,5234688,USD,0.99,338,12,2.5,2,5,4+,Weather,43,0,1,1
111,306468004,237913088,USD,2.99,16434,3,4.5,4.5,17.5.5,4+,Health & Fitness,37,0,9,1
112,306561234,233513984,USD,2.99,10046,7,4.5,5,17.5.5,4+,Health & Fitness,37,0,9,1
113,306621789,110420992,USD,0,29107,85,3,4,11.2,12+,News,37,5,10,1
114,306628397,47774720,USD,1.99,878,48,4,4.5,8.7.5,17+,Games,38,5,1,1
115,306937053,22259712,USD,0.99,1140,20,3.5,3.5,3.6,4+,Games,37,4,1,1
116,307132353,431771648,USD,2.99,35074,403,4.5,4,3.3.0,4+,Games,43,0,6,1
117,307184892,120357888,USD,0,59639,11,3,2.5,10.2.2,17+,Sports,37,4,1,1
118,307219387,90828800,USD,4.99,2913,357,4,5,7.4,4+,Health & Fitness,43,5,1,1
119,307354030,30796800,USD,0,39722,0,3,0,5.1,4+,Photo & Video,37,5,1,1
120,307386350,151397376,USD,0,81006,25,3.5,3,4.9.705,4+,Entertainment,37,0,1,1
121,307569751,46880768,USD,0,53465,204,3.5,4,2.8.1,4+,Games,37,5,1,1
122,307727765,48741376,USD,0.99,395261,88,4.5,4.5,3.17.6,4+,Games,37,0,1,1
123,307741537,17145856,USD,1.99,2021,147,4.5,4.5,3.5.1,4+,Utilities,37,4,12,1
124,307764057,25808896,USD,0,182,0,3,0,6.52,17+,Entertainment,37,5,3,1
125,307906541,81924096,USD,0,291787,589,4,5,8.6,4+,Entertainment,37,4,1,1
126,308111628,19451904,USD,1.99,2441,4,4,5,9.9,17+,Utilities,38,4,12,1
128,308339980,118683648,USD,0.99,1372,25,4,4,1.8.3,12+,Games,37,2,1,1
129,308368164,723764224,USD,249.99,773,10,4,3.5,5.0.1,4+,Education,37,5,3,1
130,308750436,111275008,USD,0,200047,177,4,4,7.1.3,4+,Reference,37,0,1,1
132,308834491,109616128,USD,0,112,0,3.5,0,5.0.11,12+,News,37,5,17,1
133,309025938,120725504,USD,0,148160,63,4.5,3.5,9.0.701,4+,Sports,37,5,1,1
134,309172177,68491264,USD,0,108507,628,3,3,5.3,4+,Utilities,37,5,2,1
135,309187846,122153984,USD,0,46,0,3,0,7.3.0,4+,Entertainment,37,5,1,1
136,309465525,122315776,USD,0,51427,874,4,5,7.7.0,4+,Photo & Video,37,5,1,1
137,309527804,17010688,USD,0.99,53821,165,3.5,4,1.8.9,12+,Games,43,1,1,0
138,309735670,3691520,USD,0,38681,563,4,4.5,4.3,4+,Business,37,3,28,1
139,310303959,0.99,17776,6,4,5,4.6.1,4+,Games,37,0,11,1,,
140,310633997,135044096,USD,0,287589,73088,4.5,4.5,2.17.22,4+,Social Networking,12,0,35,1
141,310636441,55815168,USD,2.99,7308,15,4,4.5,1.9.1,4+,Productivity,37,5,30,1
142,310738695,132632576,USD,0,342969,88478,4.5,4.5,10.4.5,4+,Lifestyle,37,5,1,1
144,310951782,270729216,USD,4.99,6093,3,4,5,1.2.1,4+,Games,37,5,7,1
146,311466554,39827456,USD,4.99,5452,39,4.5,4.5,2.3.1,9+,Games,38,5,1,1
148,311548709,57328640,USD,0,43064,216,3,2.5,3.55,4+,Finance,37,0,2,1
150,311762416,40717312,USD,0,64,9,4.5,5,4.0.5,4+,Music,37,5,14,1
151,311785642,141136896,USD,0,220,2,4.5,5,9.1.10,4+,Productivity,37,5,13,1
152,311972587,146228224,USD,0,114096,2157,4.5,4,3.0.3,4+,Games,37,5,3,1
153,312220102,52294656,USD,9.99,1296,4,4,5,4.5.3,4+,Productivity,37,4,13,1
154,312266675,16332800,USD,2.99,1293,31,4,5,12.2,4+,Travel,37,5,11,1
155,312325565,164382720,USD,0,19946,13,4,2.5,7.32.3,4+,Finance,37,5,1,1
156,312343159,45712384,USD,0,88613,392,4,4.5,6.3.1,4+,Entertainment,37,5,1,1
157,313199385,16086016,USD,0.99,107727,55,3.5,4.5,1.41.1,4+,Games,37,3,1,1
158,314303518,223805440,USD,0.99,21416,974,4.5,4.5,1.7.2,4+,Games,43,0,5,1
159,314506629,22159360,USD,2.99,533,27,4,4,2.5.1,4+,Games,37,3,9,1
160,314652382,20542280,USD,2.99,32650,754,3.5,3.5,2.0.4,12+,Music,43,1,1,1
161,314716233,130637824,USD,0,164963,69,3.5,4,8.5.1,4+,Social Networking,37,5,3,1
162,314819528,8900608,USD,1.99,141,15,3,3,4.5,4+,Weather,40,0,1,1
163,314855255,180500480,USD,0,80424,46,4,4.5,10.11.0,4+,Shopping,37,5,2,1
164,314864297,19853312,USD,0.99,17190,180,4,4.5,1.12,4+,Games,40,0,1,1
165,315021242,42926080,USD,0.99,7973,127,4,5,1.5.95,4+,Games,40,5,15,1
166,316025912,36692992,USD,2.99,19621,1191,4,4.5,2.1.2,4+,Games,37,5,1,1
168,316227296,36647936,USD,3.99,7315,138,4,4.5,2.01,4+,Games,37,5,6,1
169,316391924,91697152,USD,0,118,0,3,0,4.6,12+,News,37,5,1,1
171,317469184,51538944,USD,0,290996,150,3.5,3.5,5.7.1,4+,Sports,37,5,2,1
172,317809458,8302592,USD,3.99,2785,90,4,4,1.9.0,4+,Travel,37,5,26,1
173,317904170,430128128,USD,6.99,54408,65,3.5,2,1.4.10,12+,Games,37,5,8,1
175,318304532,69960704,USD,9.99,8138,107,4,4.5,2.89,4+,Games,37,5,13,1
176,318592730,767126,USD,0,123190,68841,3,3,1.1,4+,Education,47,0,1,1
177,318639200,12996628,USD,0.99,23810,582,3.5,4,1.5,12+,Games,45,0,1,1
178,319204550,139545600,USD,0,54192,32,4,2,8.0.263,4+,Sports,37,0,1,1
179,319284643,130394112,USD,0,20953,481,4,4,8.1,4+,Sports,37,5,1,1
180,319295332,101925888,USD,9.99,71609,99,4.5,4,11.9,12+,Music,37,4,14,1
181,319740707,52951040,USD,0,32881,7,3.5,2,5.11.0,12+,News,37,5,1,1
182,319881193,80409600,USD,0,23201,14,2.5,2,3.9.1,17+,Social Networking,37,5,5,1
183,320029256,137312256,USD,0,17906,4,3,3,8.3.17,4+,Shopping,37,5,1,1
184,320279293,144412672,USD,74.99,927,3,3.5,2.5,2.17,4+,Navigation,37,2,21,1
185,320300350,27746273,USD,1.99,18920,3014,3.5,4.5,1.1.2,9+,Games,47,0,1,1
186,320596872,119648256,USD,0.99,30,0,3,0,3.1.3,4+,Finance,37,0,3,1
187,320599923,119574528,USD,0,77,1,3,4,3.1.3,4+,Finance,37,0,3,1
188,320606217,79315968,USD,0,104539,11,4.5,4.5,5.4.1,4+,Health & Fitness,37,5,13,1
189,320636131,12818432,USD,0.99,4016,1,4,5,5.7,12+,Photo & Video,37,5,1,1
190,320650307,18165760,USD,1.99,299,28,4,4.5,3.1,4+,Food & Drink,38,0,1,1
191,321369231,253834240,USD,1.99,5758,9,4,3,2.6,12+,Games,40,0,1,1
192,321756558,69083136,USD,0,5565,140,4.5,4.5,0.39,9+,Games,37,5,17,1
193,322423174,8573952,USD,0.99,213092,51,3.5,4.5,1.45.1,9+,Games,37,3,1,1
194,322439990,127284224,USD,0,150158,3392,4.5,5,5.1.4,4+,Weather,37,2,8,1
196,322523436,81374398,USD,4.99,6046,446,4,4,1.04.10,12+,Games,47,0,1,1
197,323229106,94139392,USD,0,345046,3040,4.5,4.5,4.24,4+,Navigation,37,5,36,1
198,323242790,13216994,USD,0.99,35930,262,3.5,4,114,12+,Games,43,0,1,1
199,323438913,21010210,USD,0.99,22557,526,4,4,1.8.7,4+,Games,47,0,1,1
200,324266640,35998720,USD,0.99,292,1,3,5,9.3,17+,Sports,37,1,1,1
202,324684580,132510720,USD,0,878563,8253,4.5,4.5,8.4.3,12+,Music,37,5,18,1
203,324887734,37001216,USD,0,22,0,3.5,0,4.0.16,4+,Food & Drink,37,0,30,1
204,325462190,64147456,USD,0,10472,58,3.5,2,8.1,17+,Sports,37,5,1,0
206,325658560,100779008,USD,0,115,70,4,5,5.0.3,17+,News,37,4,1,0
207,325683306,123718656,USD,1.99,13915,205,4.5,5,5.1.4,4+,Weather,37,2,8,1
208,325954996,126312448,USD,1.99,6780,68,4,4.5,1.5,9+,Games,38,0,5,1
209,325962257,79882240,USD,7.99,1701,35,4,4.5,6.06,4+,Productivity,37,5,21,1
210,326082487,6418432,USD,1.99,6,0,3.5,0,4.1.2,4+,Health & Fitness,37,0,8,1
212,326161564,74093568,USD,0,19,0,3,0,6.4.0,4+,Utilities,37,5,1,1
213,326574411,12937216,USD,4.99,3483,79,4.5,5,5.4.3,4+,Medical,37,0,14,1
214,326876192,53388288,USD,0,2838,26,3,2.5,6.3.1,4+,Photo & Video,37,5,12,1
215,326885152,118498304,USD,0,117889,725,3,4.5,3.3.3,4+,Entertainment,38,1,1,1
217,326979430,103197675,USD,0.99,50710,309,3.5,4,1.6.7,9+,Games,45,0,1,1
219,327193945,24574976,USD,2.99,3960,0,4.5,0,5,4+,Weather,37,0,1,1
220,327243363,96093184,USD,0,24258,305,3,2.5,2.6.042,4+,Entertainment,37,0,1,1
221,327455869,77700096,USD,0,37522,39,4,3,8.0.353,4+,Sports,37,4,1,1
222,327630330,180804608,USD,0,49578,16,3.5,3,50.2,4+,Productivity,37,5,20,1
223,328011357,56397824,USD,0.99,626,44,4,5,2.0.3,4+,Entertainment,38,5,2,1
224,328205875,229272576,USD,1.99,9286,49,4,3.5,4.02,4+,Games,38,5,1,1
225,328415391,131000320,USD,0,190670,19,3.5,2.5,9.1.0,17+,Sports,37,3,45,1
226,329127297,53097472,USD,19.99,2429,8,4.5,3.5,10.9.13,4+,Navigation,37,5,16,1
227,329174056,3375104,USD,3.99,0,0,0,0,5.1.0,4+,Finance,37,5,3,1
228,329541503,108166144,USD,0,12811,134,3.5,1.5,5.3,4+,Navigation,37,0,22,1
229,329670577,89187328,USD,1.99,32338,261,4,4.5,9.1,4+,Photo & Video,37,0,10,1
230,329703516,13647872,USD,4.99,262,43,4,4,1.3.0,12+,Games,40,5,1,1
231,329887910,123544576,USD,0.99,9657,47,4.5,4.5,2.5.0,4+,Games,38,0,12,1
